Mestská časť,veľmi nízke riziko,nízke riziko,stredné riziko,vysoké riziko,veľmi vysoké riziko
Záhorská Bystrica,47.9987,211.6475,130.7513,0,0
Vrakuňa,0,51.9974,295.6188,33.6965,0
Vajnory,0,11.9997,170.5539,43.9989,0
Staré Mesto,3.9997,160.6224,371.5539,219.54,77.3888
Podunajské Biskupice,0,23.9982,376.0338,58.2983,0
Petržalka,0,60.4548,575.7121,199.9842,3.9997
Ružinov,0,15.9991,544.2801,558.1931,37.0088
Rusovce,0,109.4406,107.9877,0,0
Rača,7.9998,196.1985,189.8511,99.8363,31.9992
Nové Mesto,3.9998,245.3301,358.3356,264.3778,41.593
Lamač,0,106.9693,118.0566,0,0
Karlova Ves,8.7886,159.526,225.0307,29.9918,0
Jarovce,0,67.5333,88.2325,0,0
Dúbravka,7.9996,96.3534,226.2636,63.9968,0
Devínska Nové Ves,3.9998,199.9933,105.9166,7.9996,0
Devín,35.2085,152.4115,39.1041,0,0
Čunovo,0,50.541,51.9935,0,0
















